station_id_x;count_rental_ids_x;count_rental_ids_y;total_touchpoints
1;63392;63478;126870
10;192466;191429;383895
100;173146;169137;342283
101;2079642;2070583;4150225
102;266928;267072;534000
103;56528;57370;113898
104;1700177;1688622;3388799
105;238947;232694;471641
106;128263;125594;253857
107;675578;669382;1344960
108;432242;433787;866029
109;2361813;2380924;4742737
11;207162;204933;412095
110;91150;90656;181806
111;1380183;1427262;2807445
112;847817;1036601;1884418
113;139766;137612;277378
114;551847;554656;1106503
115;592269;592698;1184967
116;1300090;1298707;2598797
117;98421;98127;196548
118;113279;112242;225521
119;644338;637705;1282043
12;675438;666119;1341557
120;172055;169271;341326
121;178794;180961;359755
122;368300;372776;741076
123;111004;109597;220601
124;158876;155257;314133
125;186552;183649;370201
126;459375;471651;931026
127;172017;174805;346822
128;146084;145998;292082
129;424223;421158;845381
13;158790;155903;314693
130;1523422;1557999;3081421
131;80118;80240;160358
132;2529918;2534393;5064311
133;872466;859740;1732206
134;149347;152775;302122
135;689924;695783;1385707
136;586691;576902;1163593
137;180100;177914;358014
138;306585;314212;620797
139;75673;74704;150377
14;8139785;7445153;15584938
140;416514;410987;827501
141;340297;333433;673730
142;132727;132387;265114
143;197971;196758;394729
144;377920;368444;746364
145;39642;39047;78689
146;122766;122241;245007
147;40308;40447;80755
148;254363;253671;508034
149;93646;91575;185221
15;446002;435913;881915
150;287869;277199;565068
151;154429;153366;307795
152;112673;113450;226123
153;917518;921995;1839513
154;4867984;3812675;8680659
155;124392;124348;248740
156;143193;139388;282581
157;676443;669135;1345578
158;136999;133832;270831
159;926404;909850;1836254
16;210806;209947;420753
160;622921;641369;1264290
161;86794;84685;171479
162;343647;341533;685180
163;462498;459856;922354
164;95892;96234;192126
165;17281;17219;34500
166;629949;616589;1246538
167;1036930;1036030;2072960
168;118014;115312;233326
169;326045;328490;654535
17;807121;817357;1624478
170;114360;112758;227118
171;83124;82552;165676
172;105020;104581;209601
173;303096;290883;593979
174;435995;433375;869370
175;252161;254753;506914
176;135494;135358;270852
177;879147;875684;1754831
178;147636;144882;292518
18;1327524;1318151;2645675
180;249810;244872;494682
181;128660;128298;256958
182;205622;202144;407766
183;206052;208366;414418
184;263777;261795;525572
185;196494;195681;392175
186;593623;583178;1176801
187;304701;298643;603344
188;197604;192359;389963
189;67148;67880;135028
19;212186;206574;418760
190;313605;307045;620650
191;13892304;14409523;28301827
192;1086459;1084530;2170989
193;1371925;1393162;2765087
194;4298776;4473084;8771860
195;361447;357188;718635
196;188875;189343;378218
197;420334;410863;831197
199;1227233;1227691;2454924
2;347453;339520;686973
20;328034;300017;628051
200;317176;315784;632960
201;405785;396474;802259
202;777869;776245;1554114
203;706724;709020;1415744
204;138134;137881;276015
205;3748;3829;7577
206;188865;192963;381828
207;62343;59811;122154
208;21861;21997;43858
209;49617;49249;98866
21;34187;33891;68078
210;507562;514525;1022087
211;107283;106938;214221
212;43880;44269;88149
213;4499062;4452410;8951472
214;664799;662287;1327086
215;1263284;1294066;2557350
216;241579;241778;483357
217;3636821;3726176;7362997
218;153816;151647;305463
219;314478;311379;625857
22;327965;330004;657969
220;105663;103299;208962
221;273135;271516;544651
222;757390;751729;1509119
223;189424;186334;375758
224;451927;440663;892590
225;973917;982004;1955921
226;273624;277950;551574
227;183077;181703;364780
228;1228013;1237098;2465111
229;2025376;1992740;4018116
23;184200;184236;368436
230;743965;741284;1485249
231;154924;150446;305370
232;52461;52462;104923
233;1195561;1166959;2362520
234;648653;651527;1300180
235;194488;190659;385147
236;204900;203380;408280
237;229536;227775;457311
238;63830;62426;126256
239;629624;623858;1253482
24;809459;792796;1602255
240;162856;164824;327680
241;10;10;20
242;201848;201580;403428
243;312490;308658;621148
244;300876;303265;604141
245;78639;77305;155944
246;861952;880861;1742813
247;151728;146447;298175
248;5449851;5463967;10913818
249;47244;47452;94696
25;494879;473738;968617
250;169728;165129;334857
251;2879757;2880502;5760259
252;1245912;1216605;2462517
253;412703;408509;821212
254;355323;351866;707189
255;257979;255890;513869
256;104025;107297;211322
257;196300;195148;391448
258;159713;151515;311228
26;128509;127696;256205
260;303651;298071;601722
261;81079;80535;161614
262;50759;50860;101619
263;313801;316786;630587
264;565208;561757;1126965
265;198997;195642;394639
266;206684;209326;416010
267;122589;120422;243011
268;552811;547430;1100241
269;270919;268881;539800
27;454139;458637;912776
270;973378;962598;1935976
271;243475;241415;484890
272;977793;975178;1952971
273;1239200;1217625;2456825
274;130550;129407;259957
275;187683;186574;374257
276;134822;133580;268402
277;430884;427192;858076
278;1768023;1783299;3551322
279;180892;175958;356850
28;454454;458313;912767
280;209576;205915;415491
281;245646;250014;495660
282;318717;317013;635730
284;119901;118865;238766
286;116477;112953;229430
287;118426;118039;236465
288;650500;653924;1304424
289;62490;61781;124271
29;176886;174381;351267
290;1055237;1051320;2106557
291;137111;134348;271459
292;585935;580405;1166340
293;55937;55398;111335
294;280790;279325;560115
295;197240;193822;391062
296;134223;135419;269642
297;21777;21343;43120
298;559408;561999;1121407
299;64674;64769;129443
3;315036;314739;629775
30;190917;187840;378757
300;2679869;2722573;5402442
301;477616;467100;944716
302;58751;59636;118387
303;9529073;9678536;19207609
304;2004794;2031899;4036693
305;88608;88404;177012
306;136978;136018;272996
307;8979267;9337855;18317122
308;150028;149714;299742
309;419120;410760;829880
31;192494;190879;383373
310;127576;127738;255314
311;178350;178182;356532
312;170917;171496;342413
313;547737;547343;1095080
314;166767;166027;332794
315;455068;455365;910433
316;684762;691598;1376360
317;51021;51242;102263
318;296861;292248;589109
319;241603;240177;481780
32;965017;985260;1950277
320;473781;468928;942709
321;734044;732914;1466958
322;90248;88816;179064
323;93784;95074;188858
324;215359;213877;429236
